fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout
5,2026-08-05,passive_buy,0.3,1.0,431,-0.00020384282991038895,0.0012645011600924488,-0.010487238979119094,0.5449999999998454
5,2026-08-05,passive_buy,0.5,0.0,3958,-3.893548001042892e-05,0.003337544214249731,-0.008774633653360304,13.210000000000434
5,2026-08-05,passive_buy,0.5,0.25,1549,-3.893548001042892e-05,0.0018366688185928598,-0.010426081342801739,2.84500000000034
5,2026-08-05,passive_buy,0.5,0.5,985,-3.893548001042892e-05,0.0009187817258887156,-0.011390862944162255,0.9050000000003848
5,2026-08-05,passive_buy,0.5,1.0,296,-3.893548001042892e-05,0.0018581081081077144,-0.009662162162163025,0.5499999999998835
5,2026-08-05,passive_buy,0.7,0.0,2471,0.00010419119275277264,0.0026547956292998394,-0.009312019425334012,6.559999999999903
5,2026-08-05,passive_buy,0.7,0.25,983,0.00010419119275277264,0.0008290946083418807,-0.011342828077314385,0.8150000000000688
5,2026-08-05,passive_buy,0.7,0.5,625,0.00010419119275277264,0.00024000000000016825,-0.011951999999999987,0.15000000000010516
5,2026-08-05,passive_buy,0.7,1.0,175,0.00010419119275277264,-0.0011714285714292925,-0.012571428571429562,-0.2050000000001262
5,2026-08-05,passive_buy,0.9,0.0,750,0.00032351090837292505,0.0007266666666660437,-0.011266666666667457,0.5449999999995327
5,2026-08-05,passive_buy,0.9,0.25,328,0.00032351090837292505,-0.0013109756097566382,-0.013597560975610452,-0.43000000000017735
5,2026-08-05,passive_buy,0.9,0.5,221,0.00032351090837292505,-0.0018552036199098083,-0.014072398190045857,-0.41000000000006764
5,2026-08-05,passive_buy,0.9,1.0,58,0.00032351090837292505,-0.0031034482758626764,-0.014655172413794108,-0.18000000000003524
5,2026-08-05,passive_sell,0.0,0.0,5794,-inf,0.0037124611667241885,-0.009385571280635184,21.50999999999995
5,2026-08-05,passive_sell,0.0,0.25,2715,-inf,0.0017863720073665642,-0.011152854511970522,4.850000000000222
